airport,source,model,timing,rows,target_days,first_target,last_target,available_at_rows,fetched_at_rows,evidence_class
VHHH,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
VHHH,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
VILK,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
VILK,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
VILK,open-meteo,ecmwf_ifs025,D0-morning,2,2,2026-08-10,2026-08-11,2,2,historical-causal
VILK,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
VILK,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
VILK,open-meteo,gfs_global,D0-morning,2,2,2026-08-10,2026-08-11,1,2,historical-causal
VILK,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
VILK,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
VILK,open-meteo,icon_global,D0-morning,2,2,2026-08-10,2026-08-11,1,2,historical-causal
VILK,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
VILK,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
VILK,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
WMKK,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
WMKK,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
WMKK,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
WMKK,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
WMKK,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
WMKK,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
WMKK,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
WMKK,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
WMKK,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
WMKK,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
WMKK,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
WMKK,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
WSSS,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
WSSS,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
WSSS,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,0,1,unavailable
WSSS,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
WSSS,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
WSSS,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
WSSS,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
WSSS,open-meteo,icon_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
WSSS,open-meteo,icon_global,D0-morning,1,1,2026-08-11,2026-08-11,0,1,unavailable
WSSS,previous-runs,ecmwf_ifs025,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
WSSS,previous-runs,gfs_global,D-1,365,365,2025-07-19,2026-07-18,0,365,reconstructed-research
WSSS,previous-runs,icon_global,D-1,363,363,2025-07-19,2026-07-18,0,363,reconstructed-research
ZBAA,open-meteo,ecmwf_ifs025,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
ZBAA,open-meteo,ecmwf_ifs025,D-2+,1,1,2026-08-13,2026-08-13,1,1,historical-causal
ZBAA,open-meteo,ecmwf_ifs025,D0-morning,1,1,2026-08-11,2026-08-11,1,1,historical-causal
ZBAA,open-meteo,gfs_global,D-1,1,1,2026-08-12,2026-08-12,0,1,unavailable
ZBAA,open-meteo,gfs_global,D-2+,1,1,2026-08-13,2026-08-13,0,1,unavailable
ZBAA,open-meteo,gfs_global,D0-morning,1,1,2026-08-11,2026-08-11,0,1,unavailable
ZBAA,open-meteo,icon_global,D-1,1,1,2026-08-12,2026-08-12,1,1,historical-causal
